B.6g Gross Disposable Household Income by Local Authority1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
Yorkshire and The Humber,E06000013,North Lincolnshire,1431,1498,1519,1592,1659,1718,1811,1885,1934,2009,2134,2164,2187,2195,2293,2376,2398,2431,2533,2554
Yorkshire and The Humber,E06000014,York,1843,2000,2136,2239,2363,2479,2492,2460,2530,2671,2827,2861,2995,3029,3102,3285,3387,3525,3685,3739
Yorkshire and The Humber,E07000163,Craven,605,648,655,666,691,730,752,781,838,897,923,945,980,966,986,1029,1042,1054,1120,1141
Yorkshire and The Humber,E07000164,Hambleton,986,1054,1062,1082,1141,1188,1222,1272,1335,1429,1475,1522,1576,1561,1610,1679,1711,1721,1825,1848
Yorkshire and The Humber,E07000165,Harrogate,1742,1897,1944,2013,2101,2218,2272,2318,2456,2601,2706,2762,2868,2860,2943,3068,3142,3154,3365,3402
Yorkshire and The Humber,E07000166,Richmondshire,520,568,580,603,622,656,684,728,782,847,886,918,965,965,983,1038,1062,1041,1090,1138
Yorkshire and The Humber,E07000167,Ryedale,578,611,626,637,665,690,721,751,796,844,866,882,914,897,919,961,986,1001,1071,1097
Yorkshire and The Humber,E07000168,Scarborough,1201,1272,1284,1290,1326,1388,1442,1536,1629,1725,1768,1815,1892,1852,1894,1970,1999,2007,2127,2131
Yorkshire and The Humber,E07000169,Selby,867,922,938,960,1005,1065,1107,1146,1226,1310,1362,1415,1502,1476,1515,1595,1637,1657,1766,1806
Yorkshire and The Humber,E08000016,Barnsley,1921,1993,2081,2210,2296,2349,2443,2526,2615,2713,2848,2890,2967,3014,3139,3291,3412,3552,3694,3761
Yorkshire and The Humber,E08000017,Doncaster,2511,2620,2749,2932,3029,3128,3260,3340,3442,3573,3742,3806,3917,3980,4106,4276,4403,4538,4715,4794
Yorkshire and The Humber,E08000018,Rotherham ,2204,2271,2376,2531,2648,2719,2811,2862,2963,3068,3191,3223,3324,3371,3468,3627,3738,3849,3998,4054
Yorkshire and The Humber,E08000019,Sheffield,4829,4984,5179,5427,5718,5892,6012,6346,6418,6539,6703,6932,7239,7207,7327,7633,7793,8092,8454,8643
Yorkshire and The Humber,E08000032,Bradford ,4370,4475,4658,4976,4994,5147,5250,5507,5608,5781,6051,6209,6396,6395,6521,6761,7011,7210,7579,7692
Yorkshire and The Humber,E08000033,Calderdale,1808,1877,1942,2068,2133,2185,2275,2376,2454,2539,2662,2708,2763,2785,2839,2970,3069,3147,3309,3358
Yorkshire and The Humber,E08000034,Kirklees ,3666,3826,3968,4238,4365,4494,4680,4871,5011,5195,5461,5540,5697,5734,5893,6167,6380,6524,6900,7011
Yorkshire and The Humber,E08000035,Leeds ,7291,7527,7777,8368,8645,8859,9064,9234,9545,9858,10357,10598,10820,10896,11191,11574,11941,12188,12872,13133
Yorkshire and The Humber,E08000036,Wakefield,2907,3045,3152,3362,3478,3610,3763,3908,4031,4169,4389,4425,4522,4582,4577,4756,4907,5011,5288,5378
East Midlands,E06000015,Derby ,2143,2202,2289,2299,2419,2532,2591,2703,2705,2894,2984,2992,3190,3109,3132,3355,3466,3616,3791,3863
East Midlands,E06000016,Leicester,2418,2397,2476,2617,2706,2808,2886,2999,3049,3159,3350,3359,3502,3615,3685,3865,3970,4078,4334,4490
East Midlands,E06000018,Nottingham,2314,2406,2475,2559,2596,2681,2735,2731,2827,2899,3038,3135,3189,3216,3270,3427,3628,3745,3954,3973
East Midlands,E06000017,Rutland ,382,393,410,443,457,476,498,516,533,557,586,604,604,608,615,629,650,669,706,711
East Midlands,E07000032,Amber Valley,1080,1125,1188,1261,1317,1370,1478,1556,1612,1685,1775,1823,1852,1851,1923,2004,2099,2126,2284,2340
East Midlands,E07000033,Bolsover,593,627,665,699,766,788,815,841,869,916,975,981,997,997,1021,1072,1095,1128,1210,1211
East Midlands,E07000034,Chesterfield,843,884,933,978,1063,1102,1127,1176,1217,1284,1352,1356,1382,1385,1416,1481,1517,1544,1641,1633
East Midlands,E07000035,Derbyshire Dales,711,749,782,820,852,875,925,964,999,1034,1082,1099,1101,1114,1147,1192,1250,1260,1336,1357
East Midlands,E07000036,Erewash,999,1048,1095,1160,1225,1274,1367,1440,1495,1541,1616,1661,1698,1697,1772,1846,1932,1970,2111,2159
East Midlands,E07000037,High Peak,853,888,926,990,1041,1075,1149,1205,1245,1298,1368,1407,1422,1407,1473,1530,1591,1610,1723,1760
East Midlands,E07000038,North East Derbyshire,858,900,957,995,1067,1101,1117,1146,1183,1235,1299,1297,1319,1306,1344,1399,1422,1444,1538,1542
East Midlands,E07000039,South Derbyshire,766,811,864,921,959,1023,1122,1175,1239,1296,1373,1422,1455,1463,1536,1615,1702,1752,1888,1943
East Midlands,E07000129,Blaby,978,1007,1046,1106,1150,1187,1251,1292,1328,1369,1440,1453,1494,1492,1535,1592,1629,1675,1765,1789
East Midlands,E07000130,Charnwood,1688,1725,1789,1871,1949,2020,2124,2232,2308,2383,2522,2578,2674,2713,2796,2945,3018,3123,3324,3365
East Midlands,E07000131,Harborough,828,867,908,975,1016,1061,1115,1143,1191,1232,1310,1328,1359,1384,1416,1480,1520,1571,1671,1681
East Midlands,E07000132,Hinckley and Bosworth,1102,1129,1170,1224,1278,1309,1376,1434,1497,1543,1618,1640,1686,1677,1717,1775,1813,1868,1978,1985
East Midlands,E07000133,Melton,512,522,553,583,604,631,658,686,701,723,764,767,792,799,825,860,870,887,927,922
East Midlands,E07000134,North West Leicestershire,912,941,973,1032,1071,1116,1180,1238,1283,1329,1409,1434,1467,1477,1509,1561,1618,1667,1780,1797
East Midlands,E07000135,Oadby and Wigston,598,608,633,663,682,706,750,786,800,825,866,867,875,868,907,935,950,965,1016,1008
East Midlands,E07000136,Boston,537,560,569,594,626,649,683,723,755,785,847,885,929,952,982,1018,1050,1081,1122,1128
East Midlands,E07000137,East Lindsey,1240,1289,1340,1421,1476,1527,1590,1674,1746,1785,1884,1926,1959,1962,2000,2061,2095,2147,2224,2203
East Midlands,E07000138,Lincoln,822,852,884,931,975,1015,1082,1153,1224,1267,1345,1386,1438,1473,1538,1623,1664,1707,1771,1777
East Midlands,E07000139,North Kesteven,888,925,981,1048,1106,1159,1233,1277,1338,1385,1482,1548,1585,1608,1666,1738,1772,1838,1918,1931
East Midlands,E07000140,South Holland,729,766,792,854,886,911,966,1004,1058,1098,1179,1223,1264,1292,1331,1384,1415,1467,1530,1539
East Midlands,E07000141,South Kesteven,1271,1330,1374,1433,1498,1537,1605,1664,1732,1780,1891,1956,2000,2037,2098,2192,2242,2323,2408,2416
East Midlands,E07000142,West Lindsey,791,823,839,875,911,956,1009,1072,1117,1157,1237,1279,1316,1341,1375,1420,1466,1509,1568,1559
East Midlands,E07000150,Corby,515,529,541,576,595,608,639,674,724,775,856,895,918,931,975,1046,1105,1149,1243,1266
