Secondary Resources total by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
Yorkshire and The Humber,E07000169,Selby,221,234,246,262,279,301,310,326,342,373,406,428,460,494,515,552,570,564,597,614
Yorkshire and The Humber,E08000016,Barnsley,614,638,659,712,749,781,818,857,877,932,992,1038,1121,1210,1254,1320,1346,1362,1410,1426
Yorkshire and The Humber,E08000017,Doncaster,807,836,864,939,985,1030,1077,1126,1151,1221,1300,1360,1469,1584,1636,1710,1734,1743,1795,1812
Yorkshire and The Humber,E08000018,Rotherham ,699,724,747,808,852,891,932,975,995,1053,1116,1163,1255,1351,1394,1459,1478,1490,1534,1545
Yorkshire and The Humber,E08000019,Sheffield,1410,1465,1491,1565,1647,1699,1769,1869,1903,2008,2167,2259,2434,2614,2702,2852,2880,2869,2941,2968
Yorkshire and The Humber,E08000032,Bradford ,1258,1310,1362,1505,1498,1568,1636,1754,1782,1895,2058,2174,2376,2486,2543,2678,2735,2717,2815,2843
Yorkshire and The Humber,E08000033,Calderdale,505,528,548,593,598,628,673,715,734,783,839,879,943,1016,1036,1095,1136,1121,1167,1184
Yorkshire and The Humber,E08000034,Kirklees ,1013,1063,1105,1196,1210,1274,1368,1458,1498,1600,1717,1801,1935,2094,2147,2269,2359,2329,2431,2465
Yorkshire and The Humber,E08000035,Leeds ,1905,1991,2032,2197,2236,2352,2505,2605,2670,2824,3024,3173,3413,3621,3707,3965,4058,3999,4128,4173
Yorkshire and The Humber,E08000036,Wakefield,834,875,910,985,998,1054,1130,1205,1241,1327,1422,1472,1572,1704,1750,1852,1893,1832,1944,1986
East Midlands,E06000015,Derby ,686,714,744,714,750,833,852,878,881,950,1019,1065,1139,1195,1253,1334,1306,1316,1369,1384
East Midlands,E06000016,Leicester,686,701,704,752,792,863,921,990,1018,1070,1144,1185,1268,1362,1402,1479,1483,1475,1508,1508
East Midlands,E06000018,Nottingham,759,780,792,839,851,915,947,967,993,1031,1100,1165,1271,1355,1376,1452,1463,1456,1497,1501
East Midlands,E06000017,Rutland ,90,95,100,107,112,118,125,131,139,148,161,170,184,196,205,215,220,220,228,233
East Midlands,E07000032,Amber Valley,294,308,321,371,393,421,445,468,484,511,556,582,623,656,692,729,747,734,766,782
East Midlands,E07000033,Bolsover,203,213,221,234,263,271,279,292,304,326,355,368,392,419,431,451,457,446,469,478
East Midlands,E07000034,Chesterfield,286,300,309,324,362,371,380,399,416,446,484,503,537,572,589,612,620,602,629,639
East Midlands,E07000035,Derbyshire Dales,177,187,194,223,234,249,262,275,282,296,322,338,362,382,401,424,431,422,440,448
East Midlands,E07000036,Erewash,276,292,301,350,371,396,415,435,447,469,508,532,570,600,634,670,684,675,707,721
East Midlands,E07000037,High Peak,226,237,245,285,301,320,336,353,364,384,418,436,467,489,514,541,551,541,564,574
East Midlands,E07000038,North East Derbyshire,280,292,304,318,355,362,370,387,402,429,465,482,513,547,562,586,591,574,601,614
East Midlands,E07000039,South Derbyshire,201,214,221,258,275,299,322,342,357,380,418,442,477,505,536,570,587,582,612,629
East Midlands,E07000129,Blaby,238,254,262,280,292,305,322,337,353,374,402,424,460,488,512,548,554,550,572,584
East Midlands,E07000130,Charnwood,418,440,454,480,497,513,540,568,599,636,688,729,798,853,903,976,990,990,1039,1062
East Midlands,E07000131,Harborough,200,213,220,236,248,261,278,293,309,330,358,379,414,440,466,500,509,505,529,540
East Midlands,E07000132,Hinckley and Bosworth,272,287,296,313,324,336,356,374,394,417,449,473,514,544,573,614,620,617,644,658
East Midlands,E07000133,Melton,127,133,140,149,155,161,170,178,187,197,213,224,243,260,275,294,296,293,302,305
East Midlands,E07000134,North West Leicestershire,229,243,250,266,277,290,309,326,344,366,397,419,456,484,510,545,552,550,576,589
East Midlands,E07000135,Oadby and Wigston,150,157,164,174,180,186,197,207,216,229,245,255,273,286,305,325,328,322,332,335
East Midlands,E07000136,Boston,160,168,171,177,185,201,215,228,239,260,287,307,336,363,379,401,411,412,427,436
East Midlands,E07000137,East Lindsey,364,383,395,415,433,470,504,530,554,591,645,678,726,773,803,844,855,854,882,893
East Midlands,E07000138,Lincoln,246,257,264,273,283,305,327,344,362,389,423,445,481,519,547,584,596,595,617,627
East Midlands,E07000139,North Kesteven,253,267,281,296,312,345,373,392,412,445,489,521,564,605,637,675,687,689,717,732
East Midlands,E07000140,South Holland,212,225,232,243,254,277,300,317,334,362,398,424,461,495,519,547,557,560,583,596
East Midlands,E07000141,South Kesteven,357,376,385,399,413,447,477,499,522,561,613,647,700,750,787,835,854,858,890,907
East Midlands,E07000142,West Lindsey,226,238,243,252,264,288,312,329,346,373,411,435,469,503,525,556,567,570,594,605
East Midlands,E07000150,Corby,132,139,144,155,164,172,176,186,194,209,236,252,278,300,319,342,356,358,378,384
