D.61/D.62 Imputed social contributions/Social benefits received by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
East Midlands,E07000152,East Northamptonshire,152,159,168,182,197,210,225,241,255,276,300,325,361,377,389,412,426,433,451,456
East Midlands,E07000153,Kettering,171,176,185,196,212,224,239,255,269,291,318,346,388,406,420,447,463,472,489,494
East Midlands,E07000154,Northampton,400,412,431,456,484,513,540,570,606,656,717,774,864,906,933,1002,1031,1003,1041,1061
East Midlands,E07000155,South Northamptonshire,157,161,171,184,198,215,228,244,262,280,303,323,356,369,375,404,417,405,419,425
East Midlands,E07000156,Wellingborough,150,153,162,173,186,196,206,218,230,246,265,285,316,328,339,358,367,372,387,391
East Midlands,E07000170,Ashfield,270,278,293,321,348,359,373,402,422,451,474,512,571,587,601,635,639,651,680,693
East Midlands,E07000171,Bassetlaw,261,269,284,311,337,346,361,388,406,433,454,491,545,559,568,599,598,607,631,641
East Midlands,E07000172,Broxtowe,262,267,273,287,327,337,349,357,384,413,431,466,519,532,528,575,610,602,628,645
East Midlands,E07000173,Gedling,269,277,282,297,340,350,362,370,397,426,446,482,535,550,547,593,631,625,652,672
East Midlands,E07000174,Mansfield,248,253,265,288,306,314,328,351,369,395,416,452,502,515,526,554,554,563,588,601
East Midlands,E07000175,Newark and Sherwood,259,267,281,308,332,341,358,387,406,435,459,496,551,567,578,613,615,626,653,667
East Midlands,E07000176,Rushcliffe,247,256,263,279,322,333,347,355,383,413,434,469,523,541,535,580,620,614,643,663
West Midlands,E06000019,"Herefordshire, County of",441,457,475,487,537,566,638,656,677,727,774,837,926,960,1002,1065,1060,1054,1095,1121
West Midlands,E06000051,Shropshire,684,708,745,835,839,896,963,1013,1054,1138,1251,1340,1466,1530,1628,1738,1766,1742,1798,1839
West Midlands,E06000021,Stoke-on-Trent,615,626,647,666,668,702,770,819,843,878,932,983,1071,1108,1124,1150,1177,1163,1204,1220
West Midlands,E06000020,Telford and Wrekin,347,362,378,378,384,405,458,485,502,527,573,621,689,720,756,793,789,797,869,904
West Midlands,E07000192,Cannock Chase,217,224,231,238,262,273,294,308,324,345,368,398,443,465,477,504,514,517,536,546
West Midlands,E07000193,East Staffordshire,241,252,258,267,295,307,333,349,368,394,423,461,515,542,557,589,602,607,633,649
West Midlands,E07000194,Lichfield,223,230,236,242,265,275,296,312,330,354,380,413,459,482,493,521,533,536,558,570
West Midlands,E07000195,Newcastle-under-Lyme,291,299,308,317,346,359,385,402,422,447,476,511,565,592,606,639,656,661,691,711
West Midlands,E07000196,South Staffordshire,251,257,266,274,301,311,333,347,364,387,413,446,494,519,530,558,578,581,603,617
West Midlands,E07000197,Stafford,294,301,307,314,343,356,384,403,426,456,490,532,593,624,640,677,691,693,720,741
West Midlands,E07000198,Staffordshire Moorlands,223,229,236,244,268,279,298,310,326,348,371,401,444,466,475,500,510,513,534,545
West Midlands,E07000199,Tamworth,175,181,187,192,212,219,234,243,256,272,291,315,350,368,376,397,404,404,420,427
West Midlands,E07000218,North Warwickshire,148,152,157,174,182,188,205,213,224,241,254,269,293,306,317,331,330,336,345,351
West Midlands,E07000219,Nuneaton and Bedworth,283,290,301,334,351,365,399,416,437,474,503,537,587,615,640,671,670,679,696,709
West Midlands,E07000220,Rugby,205,211,219,243,257,270,295,310,330,362,389,418,461,488,513,538,541,555,574,585
West Midlands,E07000221,Stratford-on-Avon,264,272,280,311,328,342,374,391,415,454,486,519,566,592,617,644,644,655,673,685
West Midlands,E07000222,Warwick,293,301,313,349,371,391,433,458,486,528,560,596,653,681,703,738,734,746,764,775
West Midlands,E08000025,Birmingham,2422,2448,2488,2613,2773,2936,3161,3344,3437,3566,3740,4009,4438,4642,4694,4941,4952,4982,5139,5199
West Midlands,E08000026,Coventry,686,695,691,751,795,840,915,950,982,1039,1110,1182,1292,1371,1393,1440,1465,1477,1511,1525
West Midlands,E08000027,Dudley ,705,723,749,833,842,861,930,988,1022,1085,1159,1220,1346,1413,1410,1488,1543,1541,1613,1644
West Midlands,E08000028,Sandwell ,672,686,710,771,791,826,888,941,968,1014,1072,1164,1291,1360,1378,1399,1390,1416,1458,1459
West Midlands,E08000029,Solihull,473,486,508,571,638,689,729,742,772,853,891,952,1045,1083,1107,1194,1225,1250,1292,1314
West Midlands,E08000030,Walsall,586,601,621,666,711,760,794,848,887,934,997,1068,1190,1232,1239,1289,1320,1347,1361,1359
West Midlands,E08000031,Wolverhampton,574,587,600,644,683,721,752,795,830,874,933,997,1096,1137,1144,1182,1220,1228,1251,1262
West Midlands,E07000234,Bromsgrove,222,228,239,240,250,268,287,309,328,353,373,402,448,467,478,512,530,534,556,570
West Midlands,E07000235,Malvern Hills,185,190,199,198,205,219,233,250,264,284,299,321,356,372,381,408,423,426,441,451
West Midlands,E07000236,Redditch,199,205,216,217,224,238,254,272,289,312,330,358,399,418,430,459,473,473,492,502
West Midlands,E07000237,Worcester,233,243,255,257,266,281,300,320,340,366,385,417,466,488,504,541,562,563,586,601
West Midlands,E07000238,Wychavon,279,288,306,309,322,342,364,390,413,445,468,502,559,584,598,640,665,671,706,726
West Midlands,E07000239,Wyre Forest,248,255,267,267,276,292,310,332,351,376,395,424,470,489,500,533,551,554,578,590
East of England,E06000055,Bedford,355,367,386,403,404,433,452,473,512,549,566,617,694,737,767,801,831,813,864,890
East of England,E06000056,Central Bedfordshire,526,541,566,591,593,637,664,704,765,825,857,925,1035,1107,1141,1203,1236,1239,1339,1389
East of England,E06000032,Luton,349,354,362,402,440,465,487,518,528,558,579,622,695,750,783,836,845,866,887,891
East of England,E06000031,Peterborough,367,374,393,405,415,444,470,501,540,581,610,662,742,779,792,855,874,891,903,906
East of England,E06000033,Southend-on-Sea,422,428,434,452,487,556,585,606,641,664,697,744,811,866,877,918,943,953,968,976
East of England,E06000034,Thurrock,285,294,313,309,325,376,412,422,435,463,506,536,586,628,653,681,698,711,719,725
East of England,E07000008,Cambridge,259,269,280,284,281,304,318,335,375,402,416,448,494,531,546,578,600,610,629,635
East of England,E07000009,East Cambridgeshire,164,176,182,188,187,206,221,227,247,270,288,312,348,368,375,402,419,429,441,449
East of England,E07000010,Fenland,192,201,210,214,214,235,247,262,285,312,334,361,399,420,425,452,472,481,497,507
East of England,E07000011,Huntingdonshire,370,382,396,407,401,440,456,485,521,565,594,641,706,744,756,807,840,857,882,897
East of England,E07000012,South Cambridgeshire,306,317,328,333,333,366,383,405,440,480,510,553,616,654,666,711,738,754,777,794
East of England,E07000066,Basildon,391,396,417,438,466,506,534,571,600,642,681,729,796,825,855,905,934,936,957,970
East of England,E07000067,Braintree,318,329,349,369,391,425,449,484,514,554,591,635,697,722,754,795,818,832,858,869
East of England,E07000068,Brentwood,177,181,191,200,211,226,239,256,272,294,313,330,359,371,385,407,403,423,441,449
East of England,E07000069,Castle Point,206,208,219,230,244,264,279,296,311,331,350,372,405,418,430,452,464,460,469,474
East of England,E07000070,Chelmsford,397,408,434,457,485,520,553,595,630,678,720,758,822,848,878,930,917,957,998,1019
East of England,E07000071,Colchester,391,397,419,436,461,494,520,559,598,644,687,741,815,850,887,944,976,1003,1054,1078
East of England,E07000072,Epping Forest,295,302,319,336,355,384,403,429,453,485,513,541,586,598,628,665,671,658,699,718
East of England,E07000073,Harlow,187,195,206,218,232,247,259,276,292,312,330,351,382,393,413,437,441,433,462,475
East of England,E07000074,Maldon,141,149,160,171,184,196,207,221,234,252,269,283,306,313,322,340,335,350,363,371
East of England,E07000075,Rochford,183,186,197,208,221,241,254,272,287,308,328,351,382,396,407,430,439,439,448,452
East of England,E07000076,Tendring,337,350,367,387,410,441,463,495,518,552,583,620,673,688,705,742,762,778,808,824
East of England,E07000077,Uttlesford,168,172,181,191,203,220,233,250,267,289,310,331,364,379,402,428,437,430,461,477
East of England,E07000095,Broxbourne,199,206,215,236,260,275,287,299,320,347,362,385,421,441,451,476,491,493,506,514
East of England,E07000096,Dacorum,329,340,348,376,411,432,452,472,500,538,555,591,648,681,699,739,764,769,794,808
East of England,E07000242,East Hertfordshire,304,315,323,350,385,407,426,445,473,511,531,566,620,649,664,702,727,734,759,775
East of England,E07000098,Hertsmere,224,232,237,258,281,295,308,320,340,368,383,410,449,471,483,508,523,527,542,550
East of England,E07000099,North Hertfordshire,277,286,292,318,349,369,389,410,436,472,490,522,571,599,613,646,667,673,692,703
East of England,E07000240,St Albans,309,316,325,353,385,408,429,448,476,516,535,571,628,662,679,716,740,747,768,780
East of England,E07000243,Stevenage,188,193,199,217,238,251,262,273,290,311,321,343,375,394,405,427,441,442,455,463
East of England,E07000102,Three Rivers,196,201,210,227,247,261,274,286,304,327,339,362,397,415,423,447,462,466,482,491
East of England,E07000103,Watford,192,199,203,220,239,251,263,277,296,318,330,356,394,420,436,463,484,491,506,512
East of England,E07000241,Welwyn Hatfield,232,238,246,266,291,307,324,343,372,407,425,451,494,520,533,562,585,593,619,642
East of England,E07000143,Breckland,292,302,321,342,372,385,417,435,459,495,527,561,612,656,674,709,719,736,778,800
East of England,E07000144,Broadland,279,292,306,326,354,369,396,413,429,458,487,522,572,608,626,654,670,672,700,711
East of England,E07000145,Great Yarmouth,219,226,236,251,271,283,305,318,332,354,376,406,446,474,489,510,522,524,545,552
East of England,E07000146,King’s Lynn and West Norfolk,364,377,397,423,459,486,525,546,573,618,659,707,779,836,862,905,910,921,966,990
East of England,E07000147,North Norfolk,265,274,290,308,334,350,376,388,405,432,458,490,535,573,592,620,623,631,659,675
East of England,E07000148,Norwich,302,307,318,337,364,378,405,422,444,475,502,541,597,640,664,700,722,729,763,780
East of England,E07000149,South Norfolk,270,279,294,313,339,355,385,402,422,454,483,517,570,619,641,677,690,709,752,776
East of England,E07000200,Babergh,203,210,219,234,248,265,283,301,316,343,361,390,431,437,446,475,485,494,514,524
East of England,E07000201,Forest Heath,162,161,166,176,167,178,191,201,213,228,239,257,285,293,305,323,327,345,364,368
East of England,E07000202,Ipswich,288,299,311,329,348,372,396,425,455,494,521,569,637,658,679,728,741,754,788,805
East of England,E07000203,Mid Suffolk,207,215,227,243,258,277,293,314,333,365,390,422,470,481,493,527,538,550,573,585
East of England,E07000204,St Edmundsbury,236,251,258,276,292,314,335,359,379,415,441,480,535,549,566,601,611,621,646,659
East of England,E07000205,Suffolk Coastal,292,298,306,326,342,365,388,415,439,479,511,553,610,621,632,672,684,695,724,743
East of England,E07000206,Waveney,273,282,295,315,334,357,379,404,426,459,483,519,572,578,585,624,635,642,667,681
London,E09000007,Camden,555,561,573,628,661,727,729,773,817,847,863,918,1010,1017,1025,1092,1105,1103,1113,1118
London,E09000001,City of London,17,17,20,22,24,26,25,27,28,29,31,32,35,35,35,32,29,29,31,33
London,E09000012,Hackney ,515,515,520,531,550,581,610,674,712,737,763,822,903,926,935,976,996,1009,1036,1038
London,E09000013,Hammersmith and Fulham ,421,423,434,469,492,536,540,577,614,649,676,720,801,817,826,862,852,828,841,852
London,E09000014,Haringey,656,655,684,683,677,716,740,807,846,895,928,971,1060,1094,1101,1153,1135,1138,1174,1185
London,E09000019,Islington,536,538,550,553,549,575,595,645,677,711,739,763,835,866,889,944,938,953,996,1011
London,E09000020,Kensington and Chelsea,386,390,399,441,471,511,520,556,597,614,624,661,720,725,717,742,738,719,732,735
London,E09000022,Lambeth ,666,661,678,681,678,712,740,810,851,883,916,961,1054,1092,1118,1177,1178,1178,1198,1198
London,E09000023,Lewisham ,636,638,652,650,645,679,705,759,791,827,861,911,999,1039,1066,1127,1132,1152,1166,1160
London,E09000025,Newham ,621,622,629,640,662,703,736,803,835,864,905,984,1093,1146,1174,1224,1244,1258,1296,1308
London,E09000028,Southwark,623,625,646,651,651,686,714,774,812,858,899,947,1039,1082,1111,1178,1187,1201,1219,1209
London,E09000030,Tower Hamlets,486,495,522,536,549,590,625,672,698,723,753,805,895,937,965,1018,1041,1033,1042,1042
London,E09000032,Wandsworth,606,609,612,662,695,740,749,798,851,891,925,990,1090,1114,1128,1189,1204,1196,1234,1244
London,E09000033,Westminster,566,569,584,639,681,738,754,812,871,912,933,995,1106,1146,1168,1208,1159,1161,1233,1260
London,E09000002,Barking and Dagenham,383,398,407,433,465,488,504,544,567,603,638,687,765,801,825,887,915,904,949,973
London,E09000003,Barnet,780,796,825,887,908,962,996,1062,1131,1197,1258,1334,1463,1555,1608,1706,1742,1762,1810,1844
London,E09000004,Bexley,559,569,586,617,650,670,689,743,774,822,864,907,980,1009,1016,1079,1075,1081,1097,1105
London,E09000005,Brent ,616,615,627,660,682,729,758,814,861,903,949,1036,1171,1258,1300,1365,1401,1418,1448,1444
London,E09000006,Bromley,927,949,980,1016,1036,1089,1140,1196,1268,1380,1439,1488,1593,1651,1713,1850,1845,1865,1870,1883
London,E09000008,Croydon,877,891,913,945,971,1024,1068,1130,1200,1296,1354,1451,1585,1660,1714,1838,1863,1815,1899,1921
London,E09000009,Ealing,685,689,712,752,772,822,845,901,959,1014,1069,1159,1281,1366,1400,1471,1524,1497,1571,1603
London,E09000010,Enfield,693,706,727,775,836,874,903,979,1035,1107,1168,1264,1400,1466,1498,1595,1618,1632,1680,1708
London,E09000011,Greenwich,547,558,572,605,646,677,702,764,802,862,910,959,1046,1089,1115,1197,1199,1211,1242,1258
London,E09000015,Harrow,497,508,524,563,580,622,643,687,735,777,819,871,960,1016,1033,1089,1120,1127,1167,1186
London,E09000016,Havering,546,553,566,594,631,661,683,741,774,824,868,924,1009,1034,1050,1115,1139,1120,1166,1184
London,E09000017,Hillingdon,584,598,618,662,679,723,747,790,835,884,930,991,1093,1153,1184,1266,1319,1340,1400,1431
London,E09000018,Hounslow,540,555,577,620,633,666,680,721,770,821,873,927,1021,1091,1106,1176,1180,1178,1215,1232
London,E09000021,Kingston upon Thames,362,372,383,395,404,427,447,476,508,545,569,595,644,670,693,748,764,757,773,779
London,E09000024,Merton,466,471,485,505,518,544,566,596,634,683,716,747,811,841,866,925,939,920,927,927
London,E09000026,Redbridge,573,578,591,622,661,691,718,783,825,877,923,988,1084,1121,1147,1214,1236,1222,1242,1249
London,E09000027,Richmond upon Thames,437,444,466,499,511,539,557,589,625,657,682,713,774,815,813,860,863,863,886,896
London,E09000029,Sutton,454,460,470,484,492,517,542,571,606,649,678,709,770,800,826,886,903,890,900,906
London,E09000031,Waltham Forest,536,544,548,574,606,633,650,708,743,792,836,901,995,1035,1058,1120,1137,1114,1129,1137
South East,E06000036,Bracknell Forest,241,246,259,277,282,295,311,328,351,375,395,419,457,490,504,545,555,562,588,600
South East,E06000043,Brighton and Hove,719,726,740,719,731,750,779,831,898,949,951,1011,1116,1170,1159,1211,1266,1238,1275,1290
South East,E06000046,Isle of Wight,363,374,387,406,467,476,493,531,574,614,643,689,755,799,821,879,863,847,892,915
South East,E06000035,Medway,512,524,542,582,636,671,703,763,808,876,891,954,1072,1135,1160,1247,1254,1267,1318,1340
South East,E06000042,Milton Keynes,387,395,409,434,453,493,543,601,625,662,712,802,924,998,1016,1085,1110,1138,1203,1227
