B.5g Balance of primary incomes by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
Yorkshire and The Humber,E08000035,Leeds ,8630,9034,9329,10087,10411,10616,10855,11229,11703,12218,13034,13081,12700,12923,13280,13184,13481,13999,14664,15267
Yorkshire and The Humber,E08000036,Wakefield,3272,3507,3606,3847,3995,4184,4349,4547,4748,4874,5127,5136,5044,5140,5033,5106,5272,5445,5578,5701
East Midlands,E06000015,Derby ,2390,2483,2537,2593,2796,2879,3010,3188,3213,3496,3617,3548,3750,3661,3559,3695,3884,4048,4219,4413
East Midlands,E06000016,Leicester,2774,2797,2883,3071,3133,3228,3294,3471,3567,3807,4023,3921,3971,4168,4231,4330,4409,4595,4786,5009
East Midlands,E06000018,Nottingham,2534,2710,2763,2865,2883,2988,3046,3123,3331,3453,3614,3655,3569,3574,3730,3799,4023,4186,4441,4465
East Midlands,E06000017,Rutland ,448,463,487,529,548,580,609,638,661,695,731,736,711,726,728,715,733,762,789,803
East Midlands,E07000032,Amber Valley,1291,1389,1464,1499,1567,1649,1784,1896,1983,2064,2160,2192,2131,2179,2289,2274,2432,2447,2598,2700
East Midlands,E07000033,Bolsover,662,705,751,795,848,905,950,976,1014,1072,1128,1123,1096,1102,1102,1136,1166,1213,1275,1289
East Midlands,E07000034,Chesterfield,942,996,1054,1112,1175,1263,1312,1361,1416,1499,1561,1550,1518,1529,1526,1567,1615,1659,1728,1737
East Midlands,E07000035,Derbyshire Dales,837,907,947,960,998,1037,1100,1158,1209,1247,1298,1306,1256,1298,1349,1339,1432,1435,1505,1552
East Midlands,E07000036,Erewash,1197,1297,1353,1384,1462,1538,1654,1757,1838,1889,1970,2002,1957,2001,2111,2098,2241,2270,2405,2498
East Midlands,E07000037,High Peak,1015,1090,1137,1173,1234,1289,1382,1462,1525,1584,1661,1687,1634,1654,1749,1735,1842,1851,1959,2031
East Midlands,E07000038,North East Derbyshire,956,1009,1077,1127,1178,1258,1296,1323,1373,1439,1497,1478,1445,1440,1444,1476,1508,1547,1613,1633
East Midlands,E07000039,South Derbyshire,913,997,1057,1089,1138,1225,1347,1428,1517,1583,1668,1708,1674,1720,1826,1832,1971,2014,2148,2243
East Midlands,E07000129,Blaby,1152,1198,1249,1330,1390,1458,1539,1610,1656,1721,1807,1786,1766,1793,1823,1820,1845,1914,1980,2028
East Midlands,E07000130,Charnwood,1995,2058,2144,2259,2363,2484,2618,2782,2880,2999,3168,3170,3166,3261,3327,3374,3426,3576,3740,3827
East Midlands,E07000131,Harborough,973,1026,1077,1162,1219,1293,1362,1418,1476,1540,1634,1622,1602,1653,1677,1686,1716,1787,1866,1898
East Midlands,E07000132,Hinckley and Bosworth,1299,1344,1400,1473,1544,1608,1695,1789,1867,1939,2030,2014,1992,2014,2041,2031,2054,2135,2218,2252
East Midlands,E07000133,Melton,604,621,661,701,730,774,810,854,875,908,958,943,937,960,980,982,985,1014,1040,1045
East Midlands,E07000134,North West Leicestershire,1078,1122,1166,1243,1298,1374,1456,1546,1604,1675,1772,1765,1738,1776,1797,1788,1834,1907,1999,2041
East Midlands,E07000135,Oadby and Wigston,706,723,758,799,827,870,925,981,1000,1040,1088,1067,1036,1044,1079,1071,1078,1105,1141,1144
East Midlands,E07000136,Boston,601,637,648,692,725,726,796,850,894,928,998,1033,1031,1071,1090,1079,1118,1168,1172,1184
East Midlands,E07000137,East Lindsey,1379,1458,1517,1642,1699,1700,1846,1960,2057,2094,2206,2233,2159,2192,2206,2167,2216,2304,2304,2293
East Midlands,E07000138,Lincoln,921,972,1009,1086,1134,1141,1265,1359,1451,1497,1586,1620,1601,1662,1715,1733,1786,1856,1868,1882
East Midlands,E07000139,North Kesteven,989,1047,1113,1212,1274,1292,1430,1496,1577,1626,1736,1795,1752,1801,1843,1836,1883,1980,2000,2022
East Midlands,E07000140,South Holland,812,868,897,985,1018,1013,1119,1177,1247,1291,1382,1420,1397,1448,1473,1462,1503,1580,1594,1611
East Midlands,E07000141,South Kesteven,1416,1506,1555,1656,1724,1713,1861,1947,2040,2089,2215,2267,2211,2280,2322,2317,2384,2503,2511,2530
East Midlands,E07000142,West Lindsey,881,932,952,1014,1052,1068,1173,1256,1319,1360,1452,1486,1455,1501,1521,1501,1558,1625,1634,1631
East Midlands,E07000150,Corby,617,643,653,700,723,715,787,840,914,979,1081,1111,1091,1117,1162,1207,1270,1326,1426,1462
East Midlands,E07000151,Daventry,908,973,997,1097,1160,1152,1249,1315,1393,1473,1593,1584,1526,1540,1625,1636,1683,1756,1840,1938
East Midlands,E07000152,East Northamptonshire,891,953,987,1076,1130,1131,1256,1330,1421,1508,1624,1642,1580,1587,1622,1643,1704,1763,1885,1929
East Midlands,E07000153,Kettering,979,1032,1059,1140,1188,1184,1307,1395,1488,1583,1726,1744,1692,1701,1740,1791,1854,1933,2048,2089
East Midlands,E07000154,Northampton,2525,2637,2701,2904,3012,2973,3223,3403,3637,3876,4222,4245,4116,4182,4495,4566,4709,4943,5174,5405
East Midlands,E07000155,South Northamptonshire,1050,1094,1147,1268,1325,1322,1425,1491,1591,1681,1811,1801,1704,1723,1810,1838,1904,2000,2095,2171
East Midlands,E07000156,Wellingborough,847,883,919,997,1039,1027,1116,1174,1260,1320,1411,1418,1366,1365,1389,1417,1446,1496,1594,1623
East Midlands,E07000170,Ashfield,1085,1184,1231,1315,1368,1460,1522,1635,1691,1731,1867,1874,1858,1873,1877,1877,1922,2018,2117,2168
East Midlands,E07000171,Bassetlaw,1071,1159,1209,1289,1336,1424,1476,1587,1636,1665,1786,1798,1788,1787,1770,1760,1790,1862,1943,1978
East Midlands,E07000172,Broxtowe,1386,1462,1525,1577,1612,1705,1810,1907,1963,2041,2186,2259,2196,2188,2188,2266,2260,2372,2468,2560
East Midlands,E07000173,Gedling,1416,1511,1563,1619,1658,1754,1842,1939,1986,2066,2218,2284,2232,2240,2247,2310,2319,2457,2549,2641
East Midlands,E07000174,Mansfield,984,1061,1094,1152,1183,1255,1323,1417,1472,1513,1644,1666,1660,1663,1648,1645,1677,1751,1833,1878
East Midlands,E07000175,Newark and Sherwood,1063,1170,1197,1282,1331,1422,1497,1596,1640,1679,1810,1833,1818,1820,1807,1815,1858,1934,2024,2074
East Midlands,E07000176,Rushcliffe,1376,1485,1555,1651,1692,1777,1862,1949,2000,2080,2239,2315,2241,2274,2260,2327,2346,2480,2599,2704
West Midlands,E06000019,"Herefordshire, County of",1900,2016,2034,2238,2366,2468,2498,2715,2814,3034,3097,3194,3135,3243,3295,3328,3516,3597,3746,3803
West Midlands,E06000051,Shropshire,3290,3600,3652,3803,3933,4125,4306,4604,4742,5067,5257,5578,5559,5615,5634,5613,5703,5921,6285,6397
West Midlands,E06000021,Stoke-on-Trent,2264,2289,2434,2581,2561,2600,2706,2775,2975,3066,3256,3260,3172,3263,3399,3450,3549,3651,3743,3883
West Midlands,E06000020,Telford and Wrekin,1737,1860,1906,1944,1986,2103,2216,2358,2376,2501,2593,2612,2549,2588,2673,2750,2850,2958,2992,3146
West Midlands,E07000192,Cannock Chase,1063,1149,1182,1257,1326,1398,1453,1483,1558,1632,1697,1732,1712,1729,1723,1741,1806,1866,1951,2016
West Midlands,E07000193,East Staffordshire,1171,1272,1307,1400,1483,1550,1620,1670,1742,1842,1938,1992,1975,2012,2011,2027,2112,2189,2303,2384
West Midlands,E07000194,Lichfield,1161,1242,1280,1360,1413,1486,1537,1564,1623,1709,1775,1824,1768,1801,1774,1786,1851,1916,2016,2079
West Midlands,E07000195,Newcastle-under-Lyme,1409,1496,1548,1650,1716,1790,1861,1902,1994,2091,2170,2202,2157,2175,2165,2185,2295,2372,2501,2611
West Midlands,E07000196,South Staffordshire,1292,1378,1424,1520,1591,1673,1711,1712,1770,1849,1919,1950,1899,1928,1905,1920,2021,2084,2177,2249
West Midlands,E07000197,Stafford,1484,1566,1602,1705,1776,1861,1945,1977,2063,2180,2274,2343,2287,2327,2324,2344,2438,2504,2623,2740
West Midlands,E07000198,Staffordshire Moorlands,1104,1190,1227,1310,1374,1424,1468,1508,1563,1644,1699,1729,1677,1697,1676,1677,1735,1791,1879,1933
West Midlands,E07000199,Tamworth,865,939,969,1039,1103,1144,1185,1203,1252,1315,1362,1390,1368,1377,1362,1371,1421,1457,1522,1572
West Midlands,E07000218,North Warwickshire,831,879,899,966,1007,1044,1077,1133,1166,1196,1235,1258,1243,1239,1242,1281,1326,1385,1470,1532
West Midlands,E07000219,Nuneaton and Bedworth,1552,1632,1668,1792,1891,1955,2049,2165,2229,2313,2424,2480,2458,2473,2509,2591,2694,2803,2943,3082
West Midlands,E07000220,Rugby,1139,1210,1239,1346,1432,1512,1551,1650,1703,1794,1899,1968,1950,1992,2030,2102,2203,2336,2479,2589
West Midlands,E07000221,Stratford-on-Avon,1601,1710,1768,1888,1971,2023,2079,2147,2223,2310,2425,2494,2411,2444,2475,2555,2638,2749,2921,3048
West Midlands,E07000222,Warwick,1708,1834,1896,2077,2200,2326,2432,2571,2669,2770,2909,2990,2933,2960,2966,3076,3189,3350,3518,3686
West Midlands,E08000025,Birmingham,9840,10430,10695,11410,11815,12086,12176,12659,12931,13419,13951,14029,13828,14423,14550,14715,15189,16216,16659,17286
West Midlands,E08000026,Coventry,3203,3385,3511,3798,3977,4014,3990,4174,4182,4288,4506,4506,4479,4725,4723,4778,4945,5268,5518,5742
West Midlands,E08000027,Dudley ,3388,3571,3660,3822,3961,4035,4066,4241,4344,4457,4562,4608,4572,4768,4849,4958,5001,5204,5311,5479
West Midlands,E08000028,Sandwell ,2661,2805,2871,3024,3130,3206,3244,3373,3478,3568,3677,3704,3645,3828,3903,4014,4096,4280,4522,4505
West Midlands,E08000029,Solihull,2937,3089,3170,3361,3650,3769,3853,4046,4176,4197,4298,4290,4166,4276,4502,4518,4816,4937,5210,5407
West Midlands,E08000030,Walsall,2603,2768,2847,2941,2927,3045,3087,3191,3213,3271,3362,3391,3349,3441,3497,3554,3625,3817,3952,4050
West Midlands,E08000031,Wolverhampton,2476,2623,2710,2801,2807,2905,2945,3034,3069,3131,3234,3260,3210,3288,3341,3382,3391,3533,3620,3799
West Midlands,E07000234,Bromsgrove,1148,1242,1257,1338,1403,1470,1507,1598,1702,1796,1804,1818,1774,1779,1791,1817,1875,1960,2063,2120
West Midlands,E07000235,Malvern Hills,928,1005,1012,1062,1112,1174,1192,1259,1336,1404,1412,1402,1359,1375,1383,1388,1439,1497,1562,1600
West Midlands,E07000236,Redditch,967,1050,1073,1137,1191,1244,1296,1401,1490,1583,1598,1608,1599,1605,1611,1623,1674,1722,1798,1835
West Midlands,E07000237,Worcester,1143,1267,1289,1362,1429,1500,1551,1658,1770,1876,1897,1916,1899,1908,1941,1983,2055,2126,2231,2301
West Midlands,E07000238,Wychavon,1409,1528,1562,1684,1787,1841,1891,2003,2126,2227,2251,2237,2184,2199,2212,2229,2307,2419,2559,2641
West Midlands,E07000239,Wyre Forest,1223,1320,1330,1390,1451,1511,1567,1667,1777,1851,1856,1849,1808,1798,1796,1802,1860,1921,2014,2057
East of England,E06000055,Bedford,1865,1945,2035,2207,2290,2432,2515,2625,2718,2818,2957,3053,3037,3145,3186,3215,3331,3509,3754,3908
East of England,E06000056,Central Bedfordshire,3363,3510,3690,3997,4169,4419,4570,4749,4918,5090,5326,5510,5469,5658,5740,5848,6207,6456,6716,7004
East of England,E06000032,Luton,2077,2060,2152,2315,2420,2484,2548,2591,2698,2778,2855,2883,2924,3023,3061,3140,3199,3394,3470,3676
East of England,E06000031,Peterborough,1809,1941,2094,2291,2386,2420,2458,2527,2611,2823,3024,3083,2956,3072,3068,3075,3226,3453,3704,3823
East of England,E06000033,Southend-on-Sea,2035,2128,2242,2397,2484,2522,2615,2668,2738,2835,2998,3023,3028,3134,3164,3207,3356,3495,3749,3949
East of England,E06000034,Thurrock,1663,1756,1805,1929,2037,2131,2217,2375,2510,2633,2751,2853,2849,2908,2861,2889,3011,3220,3314,3459
East of England,E07000008,Cambridge,1550,1677,1809,1959,2016,2109,2185,2342,2634,2728,2781,2818,2835,2932,2981,3063,3220,3427,3608,3723
East of England,E07000009,East Cambridgeshire,896,1001,1062,1162,1202,1277,1345,1406,1524,1608,1689,1725,1750,1772,1770,1838,1922,2052,2141,2218
East of England,E07000010,Fenland,989,1073,1142,1228,1266,1360,1420,1540,1666,1771,1869,1906,1918,1930,1922,1981,2073,2199,2306,2400
East of England,E07000011,Huntingdonshire,2046,2192,2341,2524,2584,2739,2815,3047,3268,3418,3543,3605,3596,3623,3614,3743,3903,4145,4322,4485
East of England,E07000012,South Cambridgeshire,1758,1897,2020,2162,2255,2374,2428,2590,2802,2952,3091,3159,3164,3208,3241,3344,3472,3697,3896,4074
East of England,E07000066,Basildon,2108,2240,2390,2534,2696,2799,2862,2993,3126,3227,3353,3463,3519,3536,3587,3653,3735,3807,4035,4241
East of England,E07000067,Braintree,1467,1596,1725,1871,1990,2110,2166,2297,2411,2490,2605,2697,2731,2746,2804,2834,2918,2957,3066,3183
East of England,E07000068,Brentwood,1189,1228,1282,1348,1386,1406,1443,1490,1553,1595,1643,1712,1744,1749,1777,1811,1889,1973,2058,2118
East of England,E07000069,Castle Point,1165,1227,1291,1365,1443,1486,1524,1569,1623,1650,1714,1757,1762,1756,1765,1773,1799,1819,1920,2002
East of England,E07000070,Chelmsford,2614,2731,2865,3017,3184,3289,3372,3511,3637,3724,3859,3967,3999,4009,4054,4106,4271,4387,4570,4695
East of England,E07000071,Colchester,1823,1933,2079,2216,2363,2453,2520,2668,2839,2934,3075,3174,3247,3299,3391,3476,3601,3666,3881,4086
East of England,E07000072,Epping Forest,1902,2009,2120,2244,2342,2397,2444,2529,2647,2725,2828,2934,2890,2887,2928,2998,3105,3230,3576,3695
East of England,E07000073,Harlow,1105,1186,1237,1333,1403,1438,1454,1535,1622,1663,1736,1794,1805,1799,1842,1882,1944,2016,2241,2326
East of England,E07000074,Maldon,930,996,1051,1131,1188,1216,1230,1270,1316,1350,1393,1447,1434,1426,1437,1443,1497,1541,1590,1628
East of England,E07000075,Rochford,1029,1089,1156,1234,1309,1354,1391,1448,1513,1554,1627,1681,1684,1692,1701,1720,1744,1773,1878,1966
